SN,Severity,Equipment,Equipment ID,Alarm Name,Generation Time,End Time,Fault Code,
932,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-09-02 08:47:37,2024-09-02 08:48:42,0
931,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2024-08-13 15:19:05,2024-08-13 15:19:35,0
921,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-15 13:34:39,2024-04-15 13:34:46,0
920,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-15 13:34:26,2024-04-15 13:34:34,0
919,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-15 13:30:05,2024-04-15 13:34:09,0
918,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-15 13:29:24,2024-04-15 13:29:43,0
917,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-15 13:26:45,2024-04-15 13:29:19,0
916,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 18:48:10,2024-04-14 18:51:07,0
915,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 18:36:52,2024-04-14 18:40:39,0
914,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 18:36:22,2024-04-14 18:36:41,0
913,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 18:35:58,2024-04-14 18:36:06,0
912,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 18:32:56,2024-04-14 18:33:15,0
911,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 12:49:20,2024-04-14 12:52:11,0
910,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 12:46:35,2024-04-14 12:46:48,0
909,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 12:42:09,2024-04-14 12:42:16,0
908,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 12:00:50,2024-04-14 12:06:13,0
907,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 11:58:56,2024-04-14 12:00:17,0
906,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2024-04-14 10:48:49,2024-04-14 10:48:57,0
