Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Month, 2020-07-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Month, 2020-07-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Month, 2020-07-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2020-08-01 00:00:00,"	No Data","	 "
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2020-08-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Month, 2020-08-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Month, 2020-08-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Month, 2020-08-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Month, 2020-08-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2020-09-01 00:00:00,"	No Data","	 "
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2020-09-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Month, 2020-09-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Month, 2020-09-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Month, 2020-09-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Month, 2020-09-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2020-10-01 00:00:00,"	No Data","	 "
"	ECC800_FM01", 0x01,"	Module accumulate electric by hour", 1 Month, 2020-10-01 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Month, 2020-10-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Month, 2020-10-01 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Month, 2020-10-01 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Month, 2020-10-01 00:00:00,"	No Data","	%RH"
"	ECC800_FM01", 0x01,"	PUE (month)", 1 Month, 2020-11-01 00:00:00,"	No Data","	 "
