Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-18 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-18 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-18 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-18 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-18 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-18 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-19 00:00:00,"	3608.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-19 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-09-19 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-09-19 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-09-19 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-09-19 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-09-19 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-20 00:00:00,"	3604.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-09-20 00:00:00,"	0.00","	kWh"
